year,week,player,player_position,match_player,nfl_name,nfl_team,nfl_position,gsis_id,yahoo_id,match_method
2017,4,Ben Watson,TE,ben watson,,,,,,unmatched
2017,5,Adrian Peterson,,adrian peterson,,,,,,unmatched
2017,5,Ben Watson,TE,ben watson,,,,,,unmatched
2017,6,Ben Watson,,ben watson,,,,,,unmatched
2018,1,Ben Watson,,ben watson,,,,,,unmatched
2018,2,Ben Watson,,ben watson,,,,,,unmatched
2018,4,Ben Watson,TE,ben watson,,,,,,unmatched
2018,7,Amari Cooper,,amari cooper,,,,,,unmatched
2018,7,Ben Watson,TE,ben watson,,,,,,unmatched
2018,8,Amari Cooper,,amari cooper,,,,,,unmatched
2018,8,Ben Watson,,ben watson,,,,,,unmatched
2018,9,Golden Tate,,golden tate,,,,,,unmatched
2018,10,Ben Watson,TE,ben watson,,,,,,unmatched
2018,10,Michael Badgley,K,michael badgley,,,,,,unmatched
2018,11,Ben Watson,TE,ben watson,,,,,,unmatched
2018,11,Michael Badgley,K,michael badgley,,,,,,unmatched
2018,12,Ben Watson,TE,ben watson,,,,,,unmatched
2018,13,Ben Watson,TE,ben watson,,,,,,unmatched
2019,1,DK Metcalf,,dk metcalf,,,,,,unmatched
2019,2,DK Metcalf,,dk metcalf,,,,,,unmatched
2019,3,DK Metcalf,,dk metcalf,,,,,,unmatched
2019,4,DK Metcalf,,dk metcalf,,,,,,unmatched
2019,5,DK Metcalf,,dk metcalf,,,,,,unmatched
2019,6,DK Metcalf,,dk metcalf,,,,,,unmatched
2019,7,DK Metcalf,,dk metcalf,,,,,,unmatched
2019,8,DK Metcalf,,dk metcalf,,,,,,unmatched
2019,9,DK Metcalf,,dk metcalf,,,,,,unmatched
2019,10,DK Metcalf,,dk metcalf,,,,,,unmatched
2019,11,DK Metcalf,,dk metcalf,,,,,,unmatched
2019,12,DK Metcalf,,dk metcalf,,,,,,unmatched
2019,13,DK Metcalf,,dk metcalf,,,,,,unmatched
2021,1,AJ Dillon,,aj dillon,,,,,,unmatched
2021,2,AJ Dillon,,aj dillon,,,,,,unmatched
2021,2,Jeff Wilson Jr.,,jeff wilson,,,,,,unmatched
2021,3,AJ Dillon,,aj dillon,,,,,,unmatched
2021,3,Jeff Wilson Jr.,,jeff wilson,,,,,,unmatched
2021,4,AJ Dillon,,aj dillon,,,,,,unmatched
2021,4,Jeff Wilson Jr.,,jeff wilson,,,,,,unmatched
2021,5,AJ Dillon,,aj dillon,,,,,,unmatched
2021,5,Jeff Wilson Jr.,,jeff wilson,,,,,,unmatched
2021,6,AJ Dillon,,aj dillon,,,,,,unmatched
2021,7,AJ Dillon,RB,aj dillon,,,,,,unmatched
2021,8,AJ Dillon,,aj dillon,,,,,,unmatched
2021,9,AJ Dillon,RB,aj dillon,,,,,,unmatched
2021,10,AJ Dillon,,aj dillon,,,,,,unmatched
2021,10,Jeff Wilson Jr.,,jeff wilson,,,,,,unmatched
2021,11,AJ Dillon,,aj dillon,,,,,,unmatched
2021,11,Jeff Wilson Jr.,,jeff wilson,,,,,,unmatched
2021,12,AJ Dillon,,aj dillon,,,,,,unmatched
2021,12,Jeff Wilson Jr.,,jeff wilson,,,,,,unmatched
2021,13,AJ Dillon,,aj dillon,,,,,,unmatched
2021,14,AJ Dillon,,aj dillon,,,,,,unmatched
2021,14,Jeff Wilson Jr.,,jeff wilson,,,,,,unmatched
2022,1,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,1,Jeff Wilson Jr.,,jeff wilson,,,,,,unmatched
2022,2,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,2,Jeff Wilson Jr.,RB,jeff wilson,,,,,,unmatched
2022,3,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,3,Jeff Wilson Jr.,RB,jeff wilson,,,,,,unmatched
2022,4,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,4,Jeff Wilson Jr.,RB,jeff wilson,,,,,,unmatched
2022,5,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,5,Jeff Wilson Jr.,RB,jeff wilson,,,,,,unmatched
2022,6,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,6,Jeff Wilson Jr.,RB,jeff wilson,,,,,,unmatched
2022,7,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,7,Jeff Wilson Jr.,,jeff wilson,,,,,,unmatched
2022,8,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,8,Jeff Wilson Jr.,,jeff wilson,,,,,,unmatched
2022,9,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,9,Jeff Wilson Jr.,RB,jeff wilson,,,,,,unmatched
2022,10,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,10,Jeff Wilson Jr.,RB,jeff wilson,,,,,,unmatched
2022,10,Odell Beckham Jr.,,odell beckham,,,,,,unmatched
2022,11,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,11,Jeff Wilson Jr.,,jeff wilson,,,,,,unmatched
2022,11,Odell Beckham Jr.,,odell beckham,,,,,,unmatched
2022,12,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,12,Jeff Wilson Jr.,RB,jeff wilson,,,,,,unmatched
2022,13,AJ Dillon,RB,aj dillon,,,,,,unmatched
2022,13,Bam Knight,,bam knight,,,,,,unmatched
2022,13,Jeff Wilson Jr.,RB,jeff wilson,,,,,,unmatched
2022,14,AJ Dillon,,aj dillon,,,,,,unmatched
2022,14,Bam Knight,,bam knight,,,,,,unmatched
2022,14,Jeff Wilson Jr.,RB,jeff wilson,,,,,,unmatched
2023,1,Chig OkonkwoVideo Forecast,,chig okonkwo,,,,,,unmatched
2023,13,Chig Okonkwo,TE,chig okonkwo,,,,,,unmatched
2023,14,Chig OkonkwoVideo Forecast Bye,,chig okonkwo,,,,,,unmatched
2023,14,Zach Ertz,,zach ertz,,,,,,unmatched
2025,8,Michael Badgley,K,michael badgley,,,,,,unmatched
2025,9,Michael Badgley,K,michael badgley,,,,,,unmatched
2025,10,Michael Badgley,K,michael badgley,,,,,,unmatched
