player,championships,championship_seasons,champion_franchises,championship_rank
Jakobi Meyers,3,"2020, 2023, 2025","Ginger FC, Joe Mantegna, Malle ❤️ 🐸",1
Zach Ertz,3,"2017, 2018, 2025","Ginger FC, Pop Lockett Drop it",1
Adam Thielen,2,"2018, 2020","Malle ❤️ 🐸, Pop Lockett Drop it",3
Amari Cooper,2,"2022, 2024","Post Mahomes, malle_dips_pouches",3
Calvin Ridley,2,"2020, 2021","Malle ❤️ 🐸, Voldemort",3
Chase Edmonds,2,"2019, 2021",Voldemort,3
Christian McCaffrey,2,"2019, 2022","Voldemort, malle_dips_pouches",3
David Montgomery,2,"2021, 2023","Joe Mantegna, Voldemort",3
Deebo Samuel Sr.,2,"2021, 2024","Post Mahomes, Voldemort",3
Hollywood Brown,2,"2023, 2024","Joe Mantegna, Post Mahomes",3
Jason Myers,2,"2022, 2025","Ginger FC, malle_dips_pouches",3
Kareem Hunt,2,"2018, 2020","Malle ❤️ 🐸, Pop Lockett Drop it",3
Keenan Allen,2,"2019, 2023","Joe Mantegna, Voldemort",3
Lamar Jackson,2,"2022, 2024","Post Mahomes, malle_dips_pouches",3
Michael Gallup,2,"2019, 2022","Voldemort, malle_dips_pouches",3
Tom Brady,2,"2020, 2022","Malle ❤️ 🐸, malle_dips_pouches",3
49ers - DEF,1,2019,Voldemort,17
Adrian Peterson,1,2018,Pop Lockett Drop it,17
Alex Collins,1,2017,Ginger FC,17
Alvin Kamara,1,2020,Malle ❤️ 🐸,17
Ashton Jeanty,1,2025,Ginger FC,17
Austin Ekeler,1,2017,Ginger FC,17
Baker Mayfield,1,2019,Voldemort,17
Ben Roethlisberger,1,2020,Malle ❤️ 🐸,17
Breece Hall,1,2023,Joe Mantegna,17
Brock Bowers,1,2024,Post Mahomes,17
Buccaneers - DEF,1,2021,Voldemort,17
Bucky Irving,1,2025,Ginger FC,17
Carlos Hyde,1,2017,Ginger FC,17
Case Keenum,1,2017,Ginger FC,17
Chiefs - DEF,1,2024,Post Mahomes,17
Chris Carson,1,2019,Voldemort,17
Christian Kirk,1,2021,Voldemort,17
Christian Watson,1,2025,Ginger FC,17
Colston Loveland,1,2025,Ginger FC,17
Cordarrelle Patterson,1,2021,Voldemort,17
Courtland Sutton,1,2018,Pop Lockett Drop it,17
DJ Moore,1,2025,Ginger FC,17
Dak Prescott,1,2021,Voldemort,17
Damien Harris,1,2020,Malle ❤️ 🐸,17
Darnell Mooney,1,2024,Post Mahomes,17
Darrel Williams,1,2019,Voldemort,17
David Njoku,1,2023,Joe Mantegna,17
Dawson Knox,1,2021,Voldemort,17
DeAndre Hopkins,1,2017,Ginger FC,17
DeSean Jackson,1,2020,Malle ❤️ 🐸,17
