year,champion,final_regular_season_week,player,lineup_slot,was_starter_final_week,fantasy_points_final_week
2018,Pop Lockett Drop it,13,Kareem Hunt,BN,False,0.0
2018,Pop Lockett Drop it,13,Courtland Sutton,BN,False,14.5
2018,Pop Lockett Drop it,13,Marquise Goodwin,BN,False,0.0
2018,Pop Lockett Drop it,13,Jimmy Graham,BN,False,5.0
2018,Pop Lockett Drop it,13,Nelson Agholor,BN,False,5.6
2018,Pop Lockett Drop it,13,Jeff Heuerman,BN,False,0.0
2018,Pop Lockett Drop it,13,Texans - DEF,DEF,True,18.0
2018,Pop Lockett Drop it,13,Jake Elliott,K,True,10.0
2018,Pop Lockett Drop it,13,Kirk Cousins,QB,True,12.04
2018,Pop Lockett Drop it,13,Adrian Peterson,RB,True,15.8
2018,Pop Lockett Drop it,13,Theo Riddick,RB,True,5.8
2018,Pop Lockett Drop it,13,Zach Ertz,TE,True,8.3
2018,Pop Lockett Drop it,13,Golden Tate,W/R/T,True,16.5
2018,Pop Lockett Drop it,13,Odell Beckham Jr.,WR,True,17.46
2018,Pop Lockett Drop it,13,Adam Thielen,WR,True,8.8
2019,Voldemort,13,Baker Mayfield,BN,False,11.04
2019,Voldemort,13,Michael Gallup,BN,False,6.3
2019,Voldemort,13,Royce Freeman,BN,False,2.4
2019,Voldemort,13,Will Fuller V,BN,False,0.8
2019,Voldemort,13,Chase Edmonds,BN,False,0.0
2019,Voldemort,13,Darrel Williams,BN,False,7.6
2019,Voldemort,13,49ers - DEF,DEF,True,4.0
2019,Voldemort,13,Zane Gonzalez,K,True,1.0
2019,Voldemort,13,Patrick Mahomes,QB,True,21.5
2019,Voldemort,13,Christian McCaffrey,RB,True,10.2
2019,Voldemort,13,Chris Carson,RB,True,16.9
2019,Voldemort,13,Hunter Henry,TE,True,1.0
2019,Voldemort,13,Tevin Coleman,W/R/T,True,1.5
2019,Voldemort,13,Terry McLaurin,WR,True,0.8
2019,Voldemort,13,Keenan Allen,WR,True,12.8
2020,Malle ❤️ 🐸,13,Damien Harris,BN,False,10.0
2020,Malle ❤️ 🐸,13,Latavius Murray,BN,False,2.7
2020,Malle ❤️ 🐸,13,Tom Brady,BN,False,
2020,Malle ❤️ 🐸,13,Mike Gesicki,BN,False,19.3
2020,Malle ❤️ 🐸,13,DeSean Jackson,BN,False,0.0
2020,Malle ❤️ 🐸,13,Jordan Howard,BN,False,1.9
2020,Malle ❤️ 🐸,13,Saints - DEF,DEF,True,6.0
2020,Malle ❤️ 🐸,13,Preston Williams,IR,False,
2020,Malle ❤️ 🐸,13,Justin Tucker,K,True,10.0
2020,Malle ❤️ 🐸,13,Ben Roethlisberger,QB,True,23.2
2020,Malle ❤️ 🐸,13,Kareem Hunt,RB,True,7.2
2020,Malle ❤️ 🐸,13,Alvin Kamara,RB,True,16.7
