year,team,finish
2018,Big Sack Jack,Semifinal
2018,Pop Lockett Drop it,Champion
2018,The Big Gronkowski,Quarterfinal
2018,ThreatLevelMidnight,Quarterfinal
2018,Voldemort,Runner-Up
2018,malle_dips_pouches,Semifinal
2019,Big Sack Jack,Quarterfinal
2019,Patty Primetimes,Runner-Up
2019,Pop Lockett Drop it,Quarterfinal
2019,Post Mahomes,Semifinal
2019,ThreatLevelMidnight,Semifinal
2019,Voldemort,Champion
2020,Joe Mantegna,Quarterfinal
2020,Malle ❤️ 🐸,Champion
2020,Pop Lockett Drop it,Semifinal
2020,The Big Gronkowski,Quarterfinal
2020,Uncle Rico,Runner-Up
2020,Voldemort,Semifinal
2021,Joe Mantegna,Quarterfinal
2021,Malle ❤️ 🐸,Semifinal
2021,Post Mahomes,Semifinal
2021,The Big Gronkowski,Quarterfinal
2021,ThreatLevelMidnight,Runner-Up
2021,Voldemort,Champion
2022,Big Sack Jack,Semifinal
2022,Ginger FC,Quarterfinal
2022,The Big Gronkowski,Runner-Up
2022,ThreatLevelMidnight,Quarterfinal
2022,Voldemort,Semifinal
2022,malle_dips_pouches,Champion
2023,Joe Mantegna,Champion
2023,Post Mahomes,Semifinal
2023,The Big Gronkowski,Quarterfinal
2023,ThreatLevelMidnight,Runner-Up
2023,Voldemort,Quarterfinal
2023,malle_dips_pouches,Semifinal
2024,Malle ❤️ 🐸,Semifinal
2024,Patty Primetimes,Semifinal
2024,Post Mahomes,Champion
2024,The Big Gronkowski,Quarterfinal
2024,ThreatLevelMidnight,Runner-Up
2024,malle_dips_pouches,Quarterfinal
2025,Ginger FC,Champion
2025,Patty Primetimes,Runner-Up
2025,Pop Lockett Drop it,Quarterfinal
2025,Post Mahomes,Semifinal
2025,ThreatLevelMidnight,Semifinal
2025,Uncle Rico,Quarterfinal
