year,week,round,team_1,team_1_record,team_1_score,team_1_projected,team_2,team_2_record,team_2_score,team_2_projected,winner,winner_score,loser,loser_score,margin,is_championship
2018,14,Quarterfinal,The Big Gronkowski,7-6-0 | 5th,91.5,109.35,Big Sack Jack,8-5-0 | 3rd,115.2,107.41,Big Sack Jack,115.2,The Big Gronkowski,91.5,23.7,False
2018,14,Quarterfinal,Voldemort,7-6-0 | 2nd,88.68,99.66,ThreatLevelMidnight,7-6-0 | 6th,63.98,95.14,Voldemort,88.68,ThreatLevelMidnight,63.98,24.7,False
2018,15,Semifinal,Pop Lockett Drop it,8-5-0 | 1st,82.5,93.12,Big Sack Jack,8-5-0 | 3rd,66.64,110.13,Pop Lockett Drop it,82.5,Big Sack Jack,66.64,15.86,False
2018,15,Semifinal,Voldemort,7-6-0 | 2nd,124.46,105.52,malle_dips_pouches,11-2-0 | 4th,55.66,111.14,Voldemort,124.46,malle_dips_pouches,55.66,68.8,False
2018,16,Championship,Voldemort,7-6-0 | 2nd,98.84,109.9,Pop Lockett Drop it,8-5-0 | 1st,121.22,96.79,Pop Lockett Drop it,121.22,Voldemort,98.84,22.38,True
2019,14,Quarterfinal,Post Mahomes,8-5-0 | 4th,106.98,106.86,Big Sack Jack,7-6-0 | 6th,102.52,98.15,Post Mahomes,106.98,Big Sack Jack,102.52,4.46,False
2019,14,Quarterfinal,ThreatLevelMidnight,7-6-0 | 3rd,144.14,92.49,Pop Lockett Drop it,10-3-0 | 5th,57.4,103.21,ThreatLevelMidnight,144.14,Pop Lockett Drop it,57.4,86.74,False
2019,15,Semifinal,Patty Primetimes,10-3-0 | 2nd,151.28,107.1,ThreatLevelMidnight,7-6-0 | 3rd,97.86,97.28,Patty Primetimes,151.28,ThreatLevelMidnight,97.86,53.42,False
2019,15,Semifinal,Voldemort,12-1-0 | 1st,111.7,114.04,Post Mahomes,8-5-0 | 4th,89.42,104.95,Voldemort,111.7,Post Mahomes,89.42,22.28,False
2019,16,Championship,Voldemort,12-1-0 | 1st,88.34,116.87,Patty Primetimes,10-3-0 | 2nd,83.22,106.12,Voldemort,88.34,Patty Primetimes,83.22,5.12,True
2020,14,Quarterfinal,Malle ❤️ 🐸,8-5-0 | 1st,132.28,122.7,Joe Mantegna,7-6-0 | 6th,103.84,105.39,Malle ❤️ 🐸,132.28,Joe Mantegna,103.84,28.44,False
2020,14,Quarterfinal,Uncle Rico,8-5-0 | 2nd,152.22,125.1,The Big Gronkowski,8-5-0 | 5th,99.56,119.84,Uncle Rico,152.22,The Big Gronkowski,99.56,52.66,False
2020,15,Semifinal,Malle ❤️ 🐸,8-5-0 | 1st,118.7,123.8,Voldemort,9-4-0 | 4th,104.26,120.08,Malle ❤️ 🐸,118.7,Voldemort,104.26,14.44,False
2020,15,Semifinal,Uncle Rico,8-5-0 | 2nd,123.22,122.56,Pop Lockett Drop it,10-3-0 | 3rd,100.72,115.04,Uncle Rico,123.22,Pop Lockett Drop it,100.72,22.5,False
2020,16,Championship,Uncle Rico,8-5-0 | 2nd,111.52,126.26,Malle ❤️ 🐸,8-5-0 | 1st,181.62,132.42,Malle ❤️ 🐸,181.62,Uncle Rico,111.52,70.1,True
2021,15,Quarterfinal,Joe Mantegna,9-5-0 | 6th,88.94,133.34,Post Mahomes,8-6-0 | 3rd,96.88,117.56,Post Mahomes,96.88,Joe Mantegna,88.94,7.94,False
2021,15,Quarterfinal,The Big Gronkowski,7-7-0 | 5th,84.06,124.03,Voldemort,9-5-0 | 1st,86.88,127.33,Voldemort,86.88,The Big Gronkowski,84.06,2.82,False
2021,16,Semifinal,Malle ❤️ 🐸,11-3-0 | 4th,74.18,115.6,Voldemort,9-5-0 | 1st,162.0,120.11,Voldemort,162.0,Malle ❤️ 🐸,74.18,87.82,False
2021,16,Semifinal,ThreatLevelMidnight,11-3-0 | 2nd,145.44,121.23,Post Mahomes,8-6-0 | 3rd,112.7,129.48,ThreatLevelMidnight,145.44,Post Mahomes,112.7,32.74,False
2021,17,Championship,Voldemort,9-5-0 | 1st,102.14,127.58,ThreatLevelMidnight,11-3-0 | 2nd,101.26,129.35,Voldemort,102.14,ThreatLevelMidnight,101.26,0.88,True
2022,15,Quarterfinal,Ginger FC,8-6-0 | 5th,98.26,110.23,malle_dips_pouches,8-6-0 | 1st,121.28,117.99,malle_dips_pouches,121.28,Ginger FC,98.26,23.02,False
