rank,team,playoff_seasons,games,wins,losses,ties,win_pct,points_for,points_against,championships,runner_ups,championship_appearances,semifinal_appearances,quarterfinal_games
1,Voldemort,6,11,7,4,0,63.6,1176.02,1060.14,2,1,3,5,3
2,Post Mahomes,5,10,6,4,0,60.0,1118.32,1186.82,1,0,1,5,4
3,malle_dips_pouches,4,7,4,3,0,57.1,844.24,713.88,1,0,1,3,3
4,Malle ❤️ 🐸,3,5,3,2,0,60.0,600.82,628.64,1,0,1,3,1
5,Ginger FC,2,3,2,1,0,66.7,404.3,292.34,1,0,1,1,1
6,Joe Mantegna,3,4,2,2,0,50.0,475.06,470.9,1,0,1,1,2
7,Pop Lockett Drop it,4,5,2,3,0,40.0,471.36,549.62,1,0,1,2,2
8,ThreatLevelMidnight,7,13,6,7,0,46.2,1462.02,1447.5,0,3,3,5,5
9,Patty Primetimes,3,6,3,3,0,50.0,687.84,694.28,0,2,2,3,1
10,Uncle Rico,2,4,2,2,0,50.0,464.56,467.66,0,1,1,1,2
11,The Big Gronkowski,6,8,2,6,0,25.0,810.04,989.02,0,1,1,1,6
12,Big Sack Jack,3,4,1,3,0,25.0,405.16,418.94,0,0,0,2,2
