team,trades,wins,losses,even,decisive_trades,win_pct,total_value_received,total_opponent_value,total_value_advantage,avg_trade_advantage,best_trade,best_trade_margin,worst_trade,worst_trade_margin,first_trade_year,last_trade_year
Post Mahomes,12,6,2,4,8,75.0,262.34,181.19,81.15,6.76,2019-50,47.8,2018-125,-28.46,2018,2025
Voldemort,5,4,1,0,5,80.0,89.41,20.31,69.1,13.82,2023-232,27.3,2022-59,-5.44,2018,2023
Big Sack Jack,1,1,0,0,1,100.0,59.4,9.8,49.6,49.6,2020-39,49.6,2020-39,49.6,2020,2020
Patty Primetimes,3,0,0,3,0,0.0,33.29,26.74,6.55,2.18,2020-172,4.98,2021-104,0.0,2020,2021
Ginger FC 🏆🏆,4,1,2,1,3,33.3,68.48,62.82,5.66,1.41,2018-125,28.46,2022-284,-15.6,2018,2024
Uncle Rico,6,1,2,3,3,33.3,71.52,79.77,-8.25,-1.38,2019-187,33.5,2022-112,-27.0,2019,2023
malle_dips_pouches,3,1,1,1,2,50.0,30.48,45.78,-15.3,-5.1,2018-214,16.12,2019-187,-33.5,2018,2020
Joe Mantegna,3,0,2,1,2,0.0,17.18,36.09,-18.91,-6.3,2024-168,2.3,2018-222,-11.96,2018,2024
ThreatLevelMidnight,5,3,2,0,5,60.0,74.17,107.9,-33.73,-6.75,2018-222,11.96,2023-87,-41.8,2018,2023
The Big Gronkowski,2,1,1,0,2,50.0,37.74,75.44,-37.7,-18.85,2019-168,11.9,2020-39,-49.6,2019,2020
Pop Lockett Drop it,10,3,5,2,8,37.5,175.58,214.03,-38.45,-3.84,2023-87,41.8,2019-50,-47.8,2018,2025
Malle ❤️ 🐸,6,1,4,1,5,20.0,63.54,123.26,-59.72,-9.95,2022-59,5.44,2018-94,-27.28,2018,2024
