trade_id,year,date,player,source_team,destination_team,position,position_source,attribution_status,first_week_with_acquiring_team,last_week_with_acquiring_team,roster_weeks,starts,bench_weeks,ir_weeks,fantasy_points,started_points,bench_points,projected_points,points_per_roster_week,points_per_start,replacement_p25,replacement_p40,expected_replacement_started_points,raw_starter_value,starter_value,expected_replacement_bench_points,raw_bench_value,bench_value,trade_value,start_value_per_start,starter_points_vs_replacement_pct
2018-69,2018,2018-10-04T03:24:24-04:00,Rob Gronkowski,Ginger FC 🏆🏆,Voldemort,TE,acquired_stint_fixed_slot,matched_post_trade_roster_stint,5.0,13.0,9,5,4,0,35.7,35.7,0.0,47.07,3.97,7.14,2.08,3.9,19.5,16.2,16.2,8.3,-8.3,0.0,16.2,3.24,83.08
2018-69,2018,2018-10-04T03:24:24-04:00,Jordan Reed,Voldemort,Ginger FC 🏆🏆,TE,acquired_stint_fixed_slot,matched_post_trade_roster_stint,5.0,13.0,9,9,0,0,45.0,45.0,0.0,60.16,5.0,5.0,2.08,3.9,35.1,9.9,9.9,0.0,0.0,0.0,9.9,1.1,28.21
2018-69,2018,2018-10-04T03:24:24-04:00,Marshawn Lynch,Voldemort,Ginger FC 🏆🏆,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,5.0,7.0,3,2,1,0,10.0,10.0,0.0,22.71,3.33,5.0,5.9,8.5,17.0,-7.0,0.0,5.9,-5.9,0.0,0.0,-3.5,-41.18
2018-94,2018,2018-10-14T03:30:56-04:00,Allen Robinson,Malle ❤️ 🐸,Post Mahomes,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,6.0,6.0,1,1,0,0,12.4,12.4,0.0,8.62,12.4,12.4,4.97,7.28,7.28,5.12,5.12,0.0,0.0,0.0,5.12,5.12,70.33
2018-94,2018,2018-10-14T03:30:56-04:00,Cam Newton,Malle ❤️ 🐸,Post Mahomes,QB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,6.0,13.0,8,7,1,0,217.14,185.18,31.96,212.21,27.14,26.45,17.58,21.62,151.34,33.84,33.84,17.58,14.38,3.59,37.43,4.83,22.36
2018-94,2018,2018-10-14T03:30:56-04:00,Andrew Luck,Post Mahomes,Malle ❤️ 🐸,QB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,6.0,13.0,8,3,5,0,193.06,70.62,122.44,174.71,24.13,23.54,17.58,21.62,64.86,5.76,5.76,87.93,34.51,8.63,14.39,1.92,8.88
2018-94,2018,2018-10-14T03:30:56-04:00,Isaiah Crowell,Post Mahomes,Malle ❤️ 🐸,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,6.0,13.0,8,2,6,0,46.4,9.8,36.6,55.68,5.8,4.9,5.9,8.5,17.0,-7.2,0.0,35.4,1.2,0.3,0.3,-3.6,-42.35
2018-94,2018,2018-10-14T03:30:56-04:00,T.Y. Hilton,Post Mahomes,Malle ❤️ 🐸,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,6.0,10.0,5,1,4,0,25.6,3.4,22.2,29.65,5.12,3.4,4.97,7.28,7.28,-3.88,0.0,19.9,2.3,0.58,0.58,-3.88,-53.3
2018-124,2018,2018-10-19T03:29:16-04:00,O.J. Howard,Joe Mantegna,ThreatLevelMidnight,TE,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,11.0,5,4,1,0,46.1,38.3,7.8,33.44,9.22,9.57,2.08,3.9,15.6,22.7,22.7,2.08,5.72,1.43,24.13,5.67,145.51
2018-124,2018,2018-10-19T03:29:16-04:00,Jared Cook,ThreatLevelMidnight,Joe Mantegna,TE,historical_fixed_slot,matched_post_trade_roster_stint,7.0,13.0,7,2,5,0,54.9,15.4,39.5,36.09,7.84,7.7,2.08,3.9,7.8,7.6,7.6,10.38,29.12,7.28,14.88,3.8,97.44
2018-125,2018,2018-10-20T03:54:06-04:00,Chris Thompson,Ginger FC 🏆🏆,Post Mahomes,RB,historical_fixed_slot,matched_post_trade_roster_stint,7.0,9.0,3,0,3,0,2.2,0.0,2.2,8.8,0.73,0.0,5.9,8.5,0.0,0.0,0.0,17.7,-15.5,0.0,0.0,0.0,0.0
2018-125,2018,2018-10-20T03:54:06-04:00,DeAndre Hopkins,Ginger FC 🏆🏆,Post Mahomes,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,13.0,7,6,1,0,73.8,73.8,0.0,80.18,10.54,12.3,4.97,7.28,43.68,30.12,30.12,4.97,-4.97,0.0,30.12,5.02,68.96
2018-125,2018,2018-10-20T03:54:06-04:00,Allen Robinson,Post Mahomes,Ginger FC 🏆🏆,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,13.0,7,4,3,0,41.2,15.9,25.3,40.6,5.89,3.98,4.97,7.28,29.12,-13.22,0.0,14.92,10.38,2.59,2.59,-3.3,-45.4
2018-125,2018,2018-10-20T03:54:06-04:00,Kenny Golladay,Post Mahomes,Ginger FC 🏆🏆,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,13.0,7,7,0,0,55.4,55.4,0.0,63.55,7.91,7.91,4.97,7.28,50.96,4.44,4.44,0.0,0.0,0.0,4.44,0.63,8.71
2018-125,2018,2018-10-20T03:54:06-04:00,Phillip Lindsay,Post Mahomes,Ginger FC 🏆🏆,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,13.0,7,5,2,0,108.7,93.1,15.6,65.11,15.53,18.62,5.9,8.5,42.5,50.6,50.6,11.8,3.8,0.95,51.55,10.12,119.06
2018-214,2018,2018-11-15T03:56:00-05:00,T.Y. Hilton,Malle ❤️ 🐸,malle_dips_pouches,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,11.0,13.0,3,2,1,0,47.7,40.0,7.7,32.15,15.9,20.0,4.97,7.28,14.56,25.44,25.44,4.97,2.73,0.68,26.12,12.72,174.73
