trade_id,year,date,team_1,team_1_players,team_1_value,team_1_started_points,team_1_raw_starter_value,team_2,team_2_players,team_2_value,team_2_started_points,team_2_raw_starter_value,winner,loser,winner_margin,winner_margin_pct,result_class,total_trade_value,unmatched_assets,source
2025-74,2025,2025-10-03T03:25:33-04:00,Post Mahomes,Tetairoa McMillan,29.45,59.5,28.7,Pop Lockett Drop it,Jordan Mason | Tee Higgins,10.47,41.2,7.2,Post Mahomes,Pop Lockett Drop it,18.98,47.5,Clear Win,39.92,0,yahoo_fantasy_api
2024-168,2024,2024-11-15T08:08:05-05:00,Joe Mantegna,Brock Purdy | Malik Nabers,2.3,10.4,2.3,Malle ❤️ 🐸,Breece Hall,0.0,9.5,-1.6,,,2.3,100.0,Even,2.3,0,yahoo_fantasy_api
2024-84,2024,2024-10-09T15:24:47-04:00,Post Mahomes,Amari Cooper | Deebo Samuel Sr.,0.9,11.4,-12.9,Ginger FC 🏆🏆,Kareem Hunt,0.0,0.0,0.0,,,0.9,100.0,Even,0.9,0,yahoo_fantasy_api
2023-242,2023,2023-11-21T03:21:21-05:00,Pop Lockett Drop it,Gus Edwards,0.0,5.7,-11.3,Uncle Rico,Justin Fields,0.0,37.3,-2.56,,,0.0,0.0,Even,0.0,0,yahoo_fantasy_api
2023-232,2023,2023-11-16T09:05:49-05:00,Voldemort,Isiah Pacheco,27.3,52.8,27.3,Pop Lockett Drop it,Tyler Lockett,0.0,31.2,-5.6,Voldemort,Pop Lockett Drop it,27.3,100.0,Fleece,27.3,0,yahoo_fantasy_api
2023-87,2023,2023-09-29T03:21:39-04:00,Pop Lockett Drop it,Raheem Mostert,62.5,147.5,62.5,ThreatLevelMidnight,Chris Olave,20.7,103.5,20.7,Pop Lockett Drop it,ThreatLevelMidnight,41.8,50.2,Big Win,83.2,0,yahoo_fantasy_api
2022-284,2022,2022-11-17T12:37:10-05:00,Voldemort,Dalton Schultz,15.6,36.8,15.6,Ginger FC 🏆🏆,Curtis Samuel,0.0,10.6,-8.0,Voldemort,Ginger FC 🏆🏆,15.6,100.0,Fleece,15.6,0,yahoo_fantasy_api
2022-224,2022,2022-11-03T12:29:51-04:00,Post Mahomes,Tua Tagovailoa,9.56,111.84,9.56,Uncle Rico,Clyde Edwards-Helaire,0.0,2.4,-6.6,Post Mahomes,Uncle Rico,9.56,100.0,Fleece,9.56,0,yahoo_fantasy_api
2022-149,2022,2022-10-18T17:43:51-04:00,Post Mahomes,CeeDee Lamb,37.7,102.8,37.7,Malle ❤️ 🐸,Allen Lazard | Ezekiel Elliott,29.9,117.9,26.1,Post Mahomes,Malle ❤️ 🐸,7.8,11.5,Slight Win,67.6,0,yahoo_fantasy_api
2022-112,2022,2022-10-06T08:48:17-04:00,Pop Lockett Drop it,Nick Chubb,50.9,131.9,50.9,Uncle Rico,Christian Kirk | Najee Harris,23.9,166.16,19.46,Pop Lockett Drop it,Uncle Rico,27.0,36.1,Clear Win,74.8,0,yahoo_fantasy_api
2022-81,2022,2022-09-29T10:18:47-04:00,Post Mahomes,Dameon Pierce,29.7,110.7,29.7,Pop Lockett Drop it,Gabe Davis | Gerald Everett,19.15,146.7,15.3,Post Mahomes,Pop Lockett Drop it,10.55,21.6,Slight Win,48.85,0,yahoo_fantasy_api
2022-59,2022,2022-09-23T15:46:47-04:00,Malle ❤️ 🐸,Antonio Gibson | James Robinson,8.37,127.0,-8.0,Voldemort,D'Andre Swift,2.93,31.0,-5.0,Malle ❤️ 🐸,Voldemort,5.44,48.1,Clear Win,11.3,0,yahoo_fantasy_api
2021-104,2021,2021-10-14T13:55:30-04:00,Patty Primetimes,Alex Collins,0.0,35.8,-18.8,Post Mahomes,Dallas Goedert,0.0,0.0,0.0,,,0.0,0.0,Even,0.0,1,yahoo_fantasy_api
2021-79,2021,2021-10-07T03:10:15-04:00,Post Mahomes,Odell Beckham Jr.,3.62,19.7,2.9,Uncle Rico,Brandon Aiyuk | Latavius Murray,0.0,18.9,-17.5,,,3.62,100.0,Even,3.62,0,yahoo_fantasy_api
