trade_id,year,date,team,players_received,players_received_count,roster_weeks,starts,bench_weeks,ir_weeks,fantasy_points,started_points,bench_points,projected_points
2018-124,2018,2018-10-19T03:29:16-04:00,Joe Mantegna,Jared Cook,1,7,2,5,0,54.9,15.4,39.5,36.09
2018-124,2018,2018-10-19T03:29:16-04:00,ThreatLevelMidnight,O.J. Howard,1,5,4,1,0,46.1,38.3,7.8,33.44
2018-125,2018,2018-10-20T03:54:06-04:00,Ginger FC 🏆🏆,Allen Robinson | Kenny Golladay | Phillip Lindsay,3,21,16,5,0,205.3,164.4,40.9,169.26
2018-125,2018,2018-10-20T03:54:06-04:00,Post Mahomes,Chris Thompson | DeAndre Hopkins,2,10,6,4,0,76.0,73.8,2.2,88.98
2018-214,2018,2018-11-15T03:56:00-05:00,Malle ❤️ 🐸,Eric Ebron,1,3,3,0,0,21.7,21.7,0.0,20.83
2018-214,2018,2018-11-15T03:56:00-05:00,malle_dips_pouches,T.Y. Hilton,1,3,2,1,0,47.7,40.0,7.7,32.15
2018-222,2018,2018-11-16T03:46:27-05:00,Joe Mantegna,Jordan Howard | Marvin Jones Jr.,2,6,1,5,0,16.0,8.0,8.0,27.92
2018-222,2018,2018-11-16T03:46:27-05:00,ThreatLevelMidnight,Corey Davis | Zach Ertz,2,4,4,0,0,35.3,35.3,0.0,36.11
2018-227,2018,2018-11-20T11:38:00-05:00,Pop Lockett Drop it,Adam Thielen | Kirk Cousins | Zach Ertz,3,6,6,0,0,96.12,96.12,0.0,96.59
2018-227,2018,2018-11-20T11:38:00-05:00,ThreatLevelMidnight,James White | Josh Gordon | Matt Ryan,3,6,5,1,0,73.72,61.92,11.8,91.38
2018-69,2018,2018-10-04T03:24:24-04:00,Ginger FC 🏆🏆,Jordan Reed | Marshawn Lynch,2,12,11,1,0,55.0,55.0,0.0,82.87
2018-69,2018,2018-10-04T03:24:24-04:00,Voldemort,Rob Gronkowski,1,9,5,4,0,35.7,35.7,0.0,47.07
2018-94,2018,2018-10-14T03:30:56-04:00,Malle ❤️ 🐸,Andrew Luck | Isaiah Crowell | T.Y. Hilton,3,21,6,15,0,265.06,83.82,181.24,260.04
2018-94,2018,2018-10-14T03:30:56-04:00,Post Mahomes,Allen Robinson | Cam Newton,2,9,8,1,0,229.54,197.58,31.96,220.83
2019-168,2019,2019-10-24T03:29:04-04:00,Post Mahomes,Marlon Mack,1,6,4,0,2,49.0,49.0,0.0,47.71
2019-168,2019,2019-10-24T03:29:04-04:00,The Big Gronkowski,DJ Chark | James White,2,12,7,5,0,107.5,72.3,35.2,92.05
2019-172,2019,2019-10-26T04:01:25-04:00,Malle ❤️ 🐸,James Conner,1,6,5,1,0,22.6,22.6,0.0,25.02
2019-172,2019,2019-10-26T04:01:25-04:00,ThreatLevelMidnight,Le'Veon Bell,1,6,6,0,0,61.1,61.1,0.0,73.71
2019-187,2019,2019-10-31T03:28:36-04:00,Uncle Rico,DJ Moore | LeSean McCoy,2,10,6,4,0,91.8,68.1,23.7,51.44
