trade_id,year,date,team,players_received,positions_received,players_received_count,roster_weeks,starts,bench_weeks,fantasy_points,started_points,bench_points,expected_replacement_started_points,raw_starter_value,starter_value,bench_value,trade_value,unmatched_assets
2018-124,2018,2018-10-19T03:29:16-04:00,Joe Mantegna,Jared Cook,TE,1,7,2,5,54.9,15.4,39.5,7.8,7.6,7.6,7.28,14.88,0
2018-124,2018,2018-10-19T03:29:16-04:00,ThreatLevelMidnight,O.J. Howard,TE,1,5,4,1,46.1,38.3,7.8,15.6,22.7,22.7,1.43,24.13,0
2018-125,2018,2018-10-20T03:54:06-04:00,Ginger FC 🏆🏆,Allen Robinson | Kenny Golladay | Phillip Lindsay,WR | WR | RB,3,21,16,5,205.3,164.4,40.9,122.58,41.82,55.04,3.54,58.58,0
2018-125,2018,2018-10-20T03:54:06-04:00,Post Mahomes,Chris Thompson | DeAndre Hopkins,RB | WR,2,10,6,4,76.0,73.8,2.2,43.68,30.12,30.12,0.0,30.12,0
2018-214,2018,2018-11-15T03:56:00-05:00,Malle ❤️ 🐸,Eric Ebron,TE,1,3,3,0,21.7,21.7,0.0,11.7,10.0,10.0,0.0,10.0,0
2018-214,2018,2018-11-15T03:56:00-05:00,malle_dips_pouches,T.Y. Hilton,WR,1,3,2,1,47.7,40.0,7.7,14.56,25.44,25.44,0.68,26.12,0
2018-222,2018,2018-11-16T03:46:27-05:00,Joe Mantegna,Jordan Howard | Marvin Jones Jr.,RB | WR,2,6,1,5,16.0,8.0,8.0,8.5,-0.5,0.0,0.0,0.0,0
2018-222,2018,2018-11-16T03:46:27-05:00,ThreatLevelMidnight,Corey Davis | Zach Ertz,WR | TE,2,4,4,0,35.3,35.3,0.0,25.74,9.56,11.96,0.0,11.96,0
2018-227,2018,2018-11-20T11:38:00-05:00,Pop Lockett Drop it,Adam Thielen | Kirk Cousins | Zach Ertz,WR | QB | TE,3,6,6,0,96.12,96.12,0.0,65.6,30.52,30.52,0.0,30.52,0
2018-227,2018,2018-11-20T11:38:00-05:00,ThreatLevelMidnight,James White | Josh Gordon | Matt Ryan,RB | WR | QB,3,6,5,1,73.72,61.92,11.8,66.3,-4.38,4.24,1.48,5.72,0
2018-69,2018,2018-10-04T03:24:24-04:00,Ginger FC 🏆🏆,Jordan Reed | Marshawn Lynch,TE | RB,2,12,11,1,55.0,55.0,0.0,52.1,2.9,9.9,0.0,9.9,0
2018-69,2018,2018-10-04T03:24:24-04:00,Voldemort,Rob Gronkowski,TE,1,9,5,4,35.7,35.7,0.0,19.5,16.2,16.2,0.0,16.2,0
