year,date,team,added_player,acquisition_type,dropped_player,raw_text
2022,"Dec 29, 2:07 pm",The Big Gronkowski,Hassan Haskins,Free Agent,T.Y. Hilton,"

	
Hassan Haskins NE - RB
Free Agent
T.Y. Hilton Dal - WR NA
To Waivers
	
The Big Gronkowski
Dec 29, 2:07 pm"
2022,"Dec 29, 10:25 am",ThreatLevelMidnight,Calvin Ridley,Free Agent,,"
	
Calvin Ridley Ten - WR
Free Agent
	
ThreatLevelMidnight
Dec 29, 10:25 am"
2022,"Dec 27, 12:13 pm",ThreatLevelMidnight,,,Chig Okonkwo,"
	
Chig Okonkwo Was - TE
To Waivers
	
ThreatLevelMidnight
Dec 27, 12:13 pm"
2022,"Dec 27, 12:12 pm",ThreatLevelMidnight,,,Broncos,"
	
Broncos Den - DEF
To Waivers
	
ThreatLevelMidnight
Dec 27, 12:12 pm"
2022,"Dec 24, 11:35 am",malle_dips_pouches,Jason Sanders,Free Agent,Jason Myers,"

	
Jason Sanders NYJ - K
Free Agent
Jason Myers Sea - K
To Waivers
	
malle_dips_pouches
Dec 24, 11:35 am"
2022,"Dec 23, 3:56 pm",Ginger FC,,,Devin Duvernay,"
	
Devin Duvernay Ari - WR Q
To Waivers
	
Ginger FC
Dec 23, 3:56 pm"
2022,"Dec 22, 6:11 pm",malle_dips_pouches,Jets,Free Agent,Michael Carter,"

	
Jets NYJ - DEF
Free Agent
Michael Carter Ten - RB
To Waivers
	
malle_dips_pouches
Dec 22, 6:11 pm"
2022,"Dec 22, 1:31 pm",Malle ❤️ 🐸,Browns,Free Agent,Packers,"

	
Browns Cle - DEF
Free Agent
Packers GB - DEF
To Waivers
	
Malle ❤️ 🐸
Dec 22, 1:31 pm"
2022,"Dec 21, 11:05 am",Voldemort,Tyler Allgeier,Free Agent,George Pickens,"

	
Tyler Allgeier Ari - RB
Free Agent
George Pickens Dal - WR
To Waivers
	
Voldemort
Dec 21, 11:05 am"
2022,"Dec 21, 9:39 am",ThreatLevelMidnight,Chig Okonkwo,Free Agent,,"
	
Chig Okonkwo Was - TE
Free Agent
	
ThreatLevelMidnight
Dec 21, 9:39 am"
2022,"Dec 21, 7:44 am",Voldemort,Deon Jackson,Free Agent,Samaje Perine,"

	
Deon Jackson Det - RB NA
Free Agent
Samaje Perine Cin - RB
To Waivers
	
Voldemort
Dec 21, 7:44 am"
2022,"Dec 21, 7:25 am",Post Mahomes,Zack Moss,Free Agent,,"
	
Zack Moss Cin - RB NA
Free Agent
	
Post Mahomes
Dec 21, 7:25 am"
2022,"Dec 21, 2:43 am",Ginger FC,Rams,Waiver,Cardinals,"

	
Rams LAR - DEF
Waiver
Cardinals Ari - DEF
To Waivers
	
Ginger FC
Dec 21, 2:43 am"
2022,"Dec 21, 2:43 am",Voldemort,Nick Folk,Waiver,Cameron Dicker,"

	
Nick Folk Atl - K
Waiver
Cameron Dicker LAC - K
To Waivers
	
Voldemort
Dec 21, 2:43 am"
2022,"Dec 18, 3:51 pm",ThreatLevelMidnight,,,Jeff Driskel,"
	
Jeff Driskel Was - QB,TE NA
To Waivers
	
ThreatLevelMidnight
Dec 18, 3:51 pm"
2022,"Dec 18, 6:18 am",Voldemort,Titans,Free Agent,Jets,"

	
Titans Ten - DEF
Free Agent
Jets NYJ - DEF
To Waivers
	
Voldemort
Dec 18, 6:18 am"
2022,"Dec 16, 12:46 pm",Pop Lockett Drop it,Saints,Free Agent,Vikings,"

	
Saints NO - DEF
Free Agent
Vikings Min - DEF
To Waivers
	
Pop Lockett Drop it
Dec 16, 12:46 pm"
2022,"Dec 15, 3:00 pm",Malle ❤️ 🐸,Packers,Free Agent,Titans,"

	
Packers GB - DEF
Free Agent
Titans Ten - DEF
To Waivers
	
Malle ❤️ 🐸
Dec 15, 3:00 pm"
2022,"Dec 14, 12:11 pm",Ginger FC,Daniel Jones,Free Agent,,"
	
Daniel Jones Ind - QB
Free Agent
	
Ginger FC
Dec 14, 12:11 pm"
2022,"Dec 14, 12:10 pm",Ginger FC,,,Kyler Murray,"
	
Kyler Murray Min - QB Q
To Waivers
	
Ginger FC
Dec 14, 12:10 pm"
2022,"Dec 14, 12:04 pm",ThreatLevelMidnight,Jeff Driskel,Free Agent,Jordan Mason,"

	
Jeff Driskel Was - QB,TE NA
Free Agent
Jordan Mason Min - RB
To Waivers
	
ThreatLevelMidnight
Dec 14, 12:04 pm"
2022,"Dec 14, 5:37 am",Voldemort,Jets,Free Agent,,"
	
Jets NYJ - DEF
Free Agent
	
Voldemort
Dec 14, 5:37 am"
2022,"Dec 14, 3:55 am",ThreatLevelMidnight,Broncos,Waiver,,"
	
Broncos Den - DEF
Waiver
	
ThreatLevelMidnight
Dec 14, 3:55 am"
2022,"Dec 14, 3:55 am",The Big Gronkowski,T.Y. Hilton,Waiver,Jimmy Garoppolo,"

	
T.Y. Hilton Dal - WR NA
Waiver
Jimmy Garoppolo LAR - QB NA
To Waivers
	
The Big Gronkowski
Dec 14, 3:55 am"
2022,"Dec 13, 10:15 pm",ThreatLevelMidnight,,,Matt Breida,"
	
Matt Breida SF - RB NA
To Waivers
	
ThreatLevelMidnight
Dec 13, 10:15 pm"
2022,"Dec 13, 9:30 pm",ThreatLevelMidnight,,,Travis Homer,"
	
Travis Homer Pit - RB
To Waivers
	
ThreatLevelMidnight
Dec 13, 9:30 pm"
2022,"Dec 11, 11:52 am",Big Sack Jack,Chuba Hubbard,Free Agent,Jake Elliott,"

	
Chuba Hubbard Car - RB
Free Agent
Jake Elliott Phi - K
To Waivers
	
Big Sack Jack
Dec 11, 11:52 am"
2022,"Dec 11, 11:33 am",malle_dips_pouches,Tom Brady,Free Agent,Jets,"

	
Tom Brady TB - QB NA
Free Agent
Jets NYJ - DEF
To Waivers
	
malle_dips_pouches
Dec 11, 11:33 am"
2022,"Dec 11, 10:20 am",Pop Lockett Drop it,Gus Edwards,Free Agent,,"

	
Gus Edwards LAC - RB NA
Free Agent
Chuba Hubbard Car - RB
To Free Agent
	
Pop Lockett Drop it
Dec 11, 10:20 am"
2022,"Dec 11, 9:26 am",Pop Lockett Drop it,Chuba Hubbard,Free Agent,Eno Benjamin,"

	
Chuba Hubbard Car - RB
Free Agent
Eno Benjamin NO - RB NA
To Waivers
	
Pop Lockett Drop it
Dec 11, 9:26 am"
2022,"Dec 10, 11:10 pm",ThreatLevelMidnight,Matt Breida,Free Agent,,"
	
Matt Breida SF - RB NA
Free Agent
	
ThreatLevelMidnight
Dec 10, 11:10 pm"
2022,"Dec 10, 3:48 am",Ginger FC,Aaron Rodgers,Waiver,Daniel Jones,"

	
Aaron Rodgers Pit - QB
Waiver
Daniel Jones Ind - QB
To Waivers
	
Ginger FC
Dec 10, 3:48 am"
2022,"Dec 10, 3:48 am",Joe Mantegna,James Cook III,Waiver,Marcus Mariota,"

	
James Cook III Buf - RB
Waiver
Marcus Mariota Was - QB Q
To Waivers
	
Joe Mantegna
Dec 10, 3:48 am"
2022,"Dec 9, 2:25 am",Patty Primetimes,Tyler Conklin,Waiver,Robert Tonyan,"

	
Tyler Conklin Det - TE
Waiver
Robert Tonyan Pit - TE
To Waivers
	
Patty Primetimes
Dec 9, 2:25 am"
2022,"Dec 8, 10:41 pm",Pop Lockett Drop it,Vikings,Free Agent,Chargers,"

	
Vikings Min - DEF
Free Agent
Chargers LAC - DEF
To Waivers
	
Pop Lockett Drop it
Dec 8, 10:41 pm"
2022,"Dec 8, 8:32 pm",Joe Mantegna,DJ Chark,Free Agent,Foster Moreau,"

	
DJ Chark Atl - WR NA
Free Agent
Foster Moreau Hou - TE Q
To Waivers
	
Joe Mantegna
Dec 8, 8:32 pm"
2022,"Dec 8, 8:30 pm",Joe Mantegna,Tony Jones,Free Agent,Darrell Henderson Jr.,"

	
Tony Jones Ari - RB NA
Free Agent
Darrell Henderson Jr. LAR - RB NA
To Waivers
	
Joe Mantegna
Dec 8, 8:30 pm"
2022,"Dec 8, 8:29 pm",Joe Mantegna,Michael Badgley,Free Agent,Younghoe Koo,"

	
Michael Badgley Ind - K NA
Free Agent
Younghoe Koo NYG - K NA
To Waivers
	
Joe Mantegna
Dec 8, 8:29 pm"
2022,"Dec 8, 8:28 pm",Joe Mantegna,Bengals,Free Agent,Commanders,"

	
Bengals Cin - DEF
Free Agent
Commanders Was - DEF
To Waivers
	
Joe Mantegna
Dec 8, 8:28 pm"
2022,"Dec 8, 12:08 pm",Pop Lockett Drop it,Ryan Tannehill,Free Agent,Tom Brady,"

	
Ryan Tannehill Ten - QB NA
Free Agent
Tom Brady TB - QB NA
To Waivers
	
Pop Lockett Drop it
Dec 8, 12:08 pm"
2022,"Dec 7, 9:07 pm",ThreatLevelMidnight,Travis Homer,Free Agent,,"

	
Travis Homer Pit - RB
Free Agent
Tony Jones Ari - RB NA
To Free Agent
	
ThreatLevelMidnight
Dec 7, 9:07 pm"
2022,"Dec 7, 8:25 pm",Malle ❤️ 🐸,Titans,Free Agent,Browns,"

	
Titans Ten - DEF
Free Agent
Browns Cle - DEF
To Waivers
	
Malle ❤️ 🐸
Dec 7, 8:25 pm"
2022,"Dec 7, 8:25 pm",Malle ❤️ 🐸,Robert Woods,Free Agent,Matthew Stafford,"

	
Robert Woods Pit - WR NA
Free Agent
Matthew Stafford LAR - QB
To Waivers
	
Malle ❤️ 🐸
Dec 7, 8:25 pm"
2022,"Dec 7, 3:24 pm",ThreatLevelMidnight,Tony Jones,Free Agent,James Cook III,"

	
Tony Jones Ari - RB NA
Free Agent
James Cook III Buf - RB
To Waivers
	
ThreatLevelMidnight
Dec 7, 3:24 pm"
2022,"Dec 7, 9:40 am",Uncle Rico,Evan Engram,Free Agent,Parris Campbell,"

	
Evan Engram Den - TE
Free Agent
Parris Campbell Dal - WR NA
To Waivers
	
Uncle Rico
Dec 7, 9:40 am"
2022,"Dec 7, 8:25 am",Patty Primetimes,Isaiah McKenzie,Free Agent,Tyler Allgeier,"

	
Isaiah McKenzie Mia - WR NA
Free Agent
Tyler Allgeier Ari - RB
To Waivers
	
Patty Primetimes
Dec 7, 8:25 am"
2022,"Dec 7, 2:34 am",Patty Primetimes,Greg Zuerlein,Waiver,Chase McLaughlin,"

	
Greg Zuerlein NYJ - K NA
Waiver
Chase McLaughlin TB - K
To Waivers
	
Patty Primetimes
Dec 7, 2:34 am"
2022,"Dec 7, 2:34 am",Ginger FC,Devin Duvernay,Waiver,Packers,"

	
Devin Duvernay Ari - WR Q
Waiver
Packers GB - DEF
To Waivers
	
Ginger FC
Dec 7, 2:34 am"
2022,"Dec 7, 2:34 am",ThreatLevelMidnight,James Cook III,Waiver,,"
	
James Cook III Buf - RB
Waiver
	
ThreatLevelMidnight
Dec 7, 2:34 am"
2022,"Dec 7, 2:34 am",Patty Primetimes,Van Jefferson,Waiver,Aaron Rodgers,"

	
Van Jefferson Was - WR
Waiver
Aaron Rodgers Pit - QB
To Waivers
	
Patty Primetimes
Dec 7, 2:34 am"
2022,"Dec 7, 2:34 am",Ginger FC,Cardinals,Waiver,,"
	
Cardinals Ari - DEF
Waiver
	
Ginger FC
Dec 7, 2:34 am"
2022,"Dec 6, 5:55 pm",ThreatLevelMidnight,,,Gus Edwards,"
	
Gus Edwards LAC - RB NA
To Waivers
	
ThreatLevelMidnight
Dec 6, 5:55 pm"
2022,"Dec 6, 1:00 pm",Ginger FC,,,Mike White,"
	
Mike White Cin - QB NA
To Waivers
	
Ginger FC
Dec 6, 1:00 pm"
2022,"Dec 6, 7:03 am",ThreatLevelMidnight,,,Tyler Conklin,"
	
Tyler Conklin Det - TE
To Waivers
	
ThreatLevelMidnight
Dec 6, 7:03 am"
2022,"Dec 4, 11:21 am",malle_dips_pouches,Jason Myers,Free Agent,Matt Gay,"

	
Jason Myers Sea - K
Free Agent
Matt Gay LV - K
To Waivers
	
malle_dips_pouches
Dec 4, 11:21 am"
