year,date,team,added_player,acquisition_type,dropped_player,raw_text
2019,"Dec 22, 10:43 am",Post Mahomes,Boston Scott,Free Agent,,"

	
Boston Scott Pit - RB NA
Free Agent
Falcons Atl - DEF
To Free Agent
	
Post Mahomes
Dec 22, 10:43 am"
2019,"Dec 22, 10:42 am",Post Mahomes,Michael Badgley,Free Agent,Mason Crosby,"

	
Michael Badgley Ind - K NA
Free Agent
Mason Crosby NYG - K NA
To Waivers
	
Post Mahomes
Dec 22, 10:42 am"
2019,"Dec 22, 10:40 am",Post Mahomes,Falcons,Free Agent,,"
	
Falcons Atl - DEF
Free Agent
	
Post Mahomes
Dec 22, 10:40 am"
2019,"Dec 22, 10:39 am",Post Mahomes,Dion Lewis,Free Agent,Patrick Laird,"

	
Dion Lewis NYG - RB NA
Free Agent
Patrick Laird TB - RB NA
To Waivers
	
Post Mahomes
Dec 22, 10:39 am"
2019,"Dec 21, 3:13 pm",Voldemort,,,Kerryon Johnson,"
	
Kerryon Johnson SF - RB NA
To Waivers
	
Voldemort
Dec 21, 3:13 pm"
2019,"Dec 21, 3:59 am",Post Mahomes,Patrick Laird,Waiver,Bo Scarbrough,"

	
Patrick Laird TB - RB NA
Waiver
Bo Scarbrough Det - RB NA
To Waivers
	
Post Mahomes
Dec 21, 3:59 am"
2019,"Dec 20, 10:13 am",Post Mahomes,Giovani Bernard,Free Agent,Cole Beasley,"

	
Giovani Bernard TB - RB NA
Free Agent
Cole Beasley NYG - WR NA
To Waivers
	
Post Mahomes
Dec 20, 10:13 am"
2019,"Dec 19, 9:40 pm",Post Mahomes,Chiefs,Free Agent,,"

	
Chiefs KC - DEF
Free Agent
Falcons Atl - DEF
To Free Agent
	
Post Mahomes
Dec 19, 9:40 pm"
2019,"Dec 19, 9:40 pm",Post Mahomes,Falcons,Free Agent,Bills,"

	
Falcons Atl - DEF
Free Agent
Bills Buf - DEF
To Waivers
	
Post Mahomes
Dec 19, 9:40 pm"
2019,"Dec 19, 10:36 am",ThreatLevelMidnight,Jacob Hollister,Free Agent,Zach Pascal,"

	
Jacob Hollister Car - TE NA
Free Agent
Zach Pascal NYG - WR NA
To Waivers
	
ThreatLevelMidnight
Dec 19, 10:36 am"
2019,"Dec 18, 10:56 am",ThreatLevelMidnight,Justin Watson,Free Agent,Dede Westbrook,"

	
Justin Watson Hou - WR
Free Agent
Dede Westbrook GB - WR NA
To Waivers
	
ThreatLevelMidnight
Dec 18, 10:56 am"
2019,"Dec 18, 7:21 am",Voldemort,Alexander Mattison,Free Agent,Patrick Laird,"

	
Alexander Mattison Mia - RB NA
Free Agent
Patrick Laird TB - RB NA
To Waivers
	
Voldemort
Dec 18, 7:21 am"
2019,"Dec 18, 3:13 am",Voldemort,Mike Boone,Waiver,Royce Freeman,"

	
Mike Boone Mia - RB NA
Waiver
Royce Freeman LAC - RB NA
To Waivers
	
Voldemort
Dec 18, 3:13 am"
2019,"Dec 18, 3:13 am",Voldemort,Younghoe Koo,Waiver,Zane Gonzalez,"

	
Younghoe Koo NYG - K NA
Waiver
Zane Gonzalez Mia - K NA
To Waivers
	
Voldemort
Dec 18, 3:13 am"
2019,"Dec 18, 3:13 am",Voldemort,Broncos,Waiver,Colts,"

	
Broncos Den - DEF
Waiver
Colts Ind - DEF
To Waivers
	
Voldemort
Dec 18, 3:13 am"
2019,"Dec 18, 3:13 am",ThreatLevelMidnight,Anthony Miller,Waiver,,"
	
Anthony Miller Bal - WR NA
Waiver
	
ThreatLevelMidnight
Dec 18, 3:13 am"
2019,"Dec 15, 6:20 pm",Voldemort,Colts,Free Agent,Peyton Barber,"

	
Colts Ind - DEF
Free Agent
Peyton Barber LV - RB NA
To Waivers
	
Voldemort
Dec 15, 6:20 pm"
2019,"Dec 15, 3:52 pm",ThreatLevelMidnight,,,Alexander Mattison,"
	
Alexander Mattison Mia - RB NA
To Waivers
	
ThreatLevelMidnight
Dec 15, 3:52 pm"
2019,"Dec 14, 2:48 am",Voldemort,Patrick Laird,Waiver,,"
	
Patrick Laird TB - RB NA
Waiver
	
Voldemort
Dec 14, 2:48 am"
2019,"Dec 13, 1:26 pm",Voldemort,Kerryon Johnson,Free Agent,Darwin Thompson,"

	
Kerryon Johnson SF - RB NA
Free Agent
Darwin Thompson LV - RB NA
To Waivers
	
Voldemort
Dec 13, 1:26 pm"
2019,"Dec 12, 6:33 pm",malle_dips_pouches,Tyler Higbee,Free Agent,Ryan Griffin,"

	
Tyler Higbee LAR - TE
Free Agent
Ryan Griffin Chi - TE NA
To Waivers
	
malle_dips_pouches
Dec 12, 6:33 pm"
2019,"Dec 12, 4:08 pm",Pop Lockett Drop it,Raiders,Free Agent,Texans,"

	
Raiders LV - DEF
Free Agent
Texans Hou - DEF
To Waivers
	
Pop Lockett Drop it
Dec 12, 4:08 pm"
2019,"Dec 11, 12:03 pm",Post Mahomes,Cole Beasley,Free Agent,Patrick Laird,"

	
Cole Beasley NYG - WR NA
Free Agent
Patrick Laird TB - RB NA
To Waivers
	
Post Mahomes
Dec 11, 12:03 pm"
2019,"Dec 11, 8:51 am",Patty Primetimes,Danny Amendola,Free Agent,Marvin Jones Jr.,"

	
Danny Amendola Hou - WR NA
Free Agent
Marvin Jones Jr. Det - WR NA
To Waivers
	
Patty Primetimes
Dec 11, 8:51 am"
2019,"Dec 11, 5:20 am",Voldemort,Peyton Barber,Free Agent,Tevin Coleman,"

	
Peyton Barber LV - RB NA
Free Agent
Tevin Coleman SF - RB NA
To Waivers
	
Voldemort
Dec 11, 5:20 am"
2019,"Dec 11, 5:10 am",Voldemort,Breshad Perriman,Free Agent,Baker Mayfield,"

	
Breshad Perriman TB - WR NA
Free Agent
Baker Mayfield TB - QB
To Waivers
	
Voldemort
Dec 11, 5:10 am"
